caldt,vwretd,vwretx,ewretd,ewretx,totval
20110505,-0.008979,-0.009065,-0.005357,-0.005587,12458078500.00
20110506,0.003920,0.003803,0.004336,0.004245,12505474400.00
20110509,0.004444,0.004433,0.005575,0.005559,12560911500.00
20110510,0.008069,0.008050,0.010484,0.010444,12662031700.00
20110511,-0.010324,-0.010942,-0.010537,-0.010787,12523488900.00
20110512,0.005203,0.005101,0.006372,0.006201,12587371400.00
20110513,-0.008049,-0.008082,-0.008204,-0.008248,12485651500.00
20110516,-0.006157,-0.006222,-0.005696,-0.005786,12408360600.00
20110517,-0.000167,-0.000429,-0.001929,-0.002012,12403026700.00
20110518,0.008827,0.008645,0.011139,0.010954,12510238800.00
20110519,0.002355,0.002272,0.002140,0.002095,12538468200.00
20110520,-0.007732,-0.007735,-0.007402,-0.007407,12441545700.00
20110523,-0.011920,-0.011934,-0.013051,-0.013099,12293065100.00
20110524,-0.000953,-0.000963,-0.001741,-0.001767,12281231400.00
20110525,0.003019,0.002951,0.003484,0.003411,12317420700.00
20110526,0.004271,0.004033,0.005566,0.005395,12367096000.00
20110527,0.004343,0.004142,0.005058,0.004831,12418332400.00
20110531,0.010535,0.010519,0.009323,0.009299,12546074800.00
20110601,-0.022642,-0.022746,-0.024606,-0.024681,12260700300.00
20110602,-0.001226,-0.001283,-0.000594,-0.000661,12244729800.00
20110603,-0.009755,-0.009804,-0.012310,-0.012356,12130113900.00
20110606,-0.010634,-0.010654,-0.012356,-0.012404,12000886300.00
20110607,-0.000794,-0.000831,0.001677,0.001601,11990937000.00
20110608,-0.004053,-0.004286,-0.007345,-0.007692,11939542200.00
20110609,0.007452,0.007452,0.007813,0.007813,12028516700.00
20110610,-0.013762,-0.013778,-0.014822,-0.014859,11863083300.00
20110613,0.000999,0.000672,-0.000821,-0.000996,11871052900.00
20110614,0.012595,0.012542,0.015994,0.015940,12019933900.00
20110615,-0.017561,-0.017605,-0.018102,-0.018188,11808318100.00
20110616,0.001957,0.001786,0.000707,0.000610,11829413600.00
20110617,0.003049,0.003046,0.004262,0.004255,11865446500.00
20110620,0.005522,0.005514,0.006649,0.006613,11930949900.00
20110621,0.013557,0.013447,0.015822,0.015769,12091384200.00
20110622,-0.006441,-0.006485,-0.006236,-0.006317,12012970600.00
20110623,-0.002696,-0.002696,-0.001740,-0.001740,11980588100.00
20110624,-0.011903,-0.011903,-0.011189,-0.011189,11838361200.00
20110627,0.009232,0.009232,0.007723,0.007723,11947655700.00
20110628,0.013162,0.012946,0.014232,0.013955,12102333300.00
20110629,0.008388,0.008256,0.008306,0.008184,12202250000.00
20110630,0.010084,0.010077,0.009482,0.009469,12311707600.00
20110701,0.014493,0.014370,0.015841,0.015771,12483936700.00
20110705,-0.001209,-0.001240,-0.003097,-0.003118,12473814900.00
20110706,0.001503,0.001140,0.000956,0.000844,12523674700.00
20110707,0.010678,0.010621,0.011740,0.011629,12656686200.00
20110708,-0.006843,-0.006843,-0.009086,-0.009086,12570141000.00
20110711,-0.018032,-0.018056,-0.021121,-0.021124,12343171000.00
20110712,-0.004430,-0.004435,-0.004198,-0.004205,12288430000.00
20110713,0.003165,0.003072,0.002630,0.002590,12326180300.00
20110714,-0.006812,-0.006827,-0.010035,-0.010047,12241985600.00
20110715,0.005592,0.005592,0.005668,0.005668,12310693500.00
20110718,-0.008152,-0.008191,-0.011729,-0.011749,12209993300.00
20110719,0.016329,0.016329,0.017240,0.017240,12409370800.00
20110720,-0.000564,-0.000703,-0.000593,-0.000632,12400761200.00
20110721,0.013493,0.013413,0.013446,0.013406,12567318400.00
20110722,0.000963,0.000940,0.001132,0.001118,12579133900.00
20110725,-0.005611,-0.005617,-0.006445,-0.006461,12508477400.00
20110726,-0.003890,-0.003895,-0.004348,-0.004354,12459712900.00
20110727,-0.020252,-0.020296,-0.023227,-0.023311,12206834500.00
20110728,-0.003164,-0.003264,-0.005099,-0.005287,12167773900.00
20110729,-0.006379,-0.006379,-0.004724,-0.004724,12076836200.00
20110801,-0.004214,-0.004214,-0.007995,-0.007995,12025593100.00
20110802,-0.025575,-0.025577,-0.029931,-0.029934,11718048600.00
20110803,0.005456,0.005107,0.006170,0.005978,11777878700.00
20110804,-0.047724,-0.047769,-0.052704,-0.052798,11215204600.00
20110805,-0.000673,-0.000684,-0.003732,-0.003763,11207312200.00
20110808,-0.066532,-0.066672,-0.075261,-0.075366,10460099700.00
20110809,0.047420,0.047397,0.052410,0.052364,10955879600.00
20110810,-0.043752,-0.044203,-0.042452,-0.042658,10471598900.00
20110811,0.046185,0.046001,0.050876,0.050630,10953275500.00
20110812,0.005184,0.005168,0.005382,0.005334,11009818100.00
20110815,0.021687,0.021612,0.024233,0.024124,11247566200.00
20110816,-0.009120,-0.009306,-0.011537,-0.011624,11142893000.00
20110817,0.001028,0.000748,-0.002037,-0.002172,11151297500.00
20110818,-0.044371,-0.044425,-0.050668,-0.050747,10655901600.00
20110819,-0.014923,-0.014923,-0.015422,-0.015422,10496748900.00
20110822,0.000358,0.000358,0.000702,0.000702,10500508100.00
20110823,0.034443,0.034431,0.037238,0.037189,10862051700.00
20110824,0.013181,0.013040,0.015146,0.014970,11003692500.00
20110825,-0.015560,-0.015581,-0.018747,-0.018793,10832238800.00
20110826,0.015294,0.015147,0.019517,0.019490,10995788000.00
20110829,0.028404,0.028280,0.034974,0.034783,11306749200.00
20110830,0.002626,0.002389,0.004648,0.004425,11333764200.00
20110831,0.005100,0.004979,0.006448,0.006347,11372211800.00
20110901,-0.011889,-0.011971,-0.014811,-0.014919,11236543100.00
20110902,-0.025100,-0.025143,-0.028924,-0.028997,10954641900.00
20110906,-0.007280,-0.007302,-0.008358,-0.008394,10874758600.00
20110907,0.029003,0.028764,0.035269,0.034921,11187554600.00
20110908,-0.010623,-0.010664,-0.013755,-0.013827,11067989000.00
20110909,-0.026630,-0.026645,-0.027527,-0.027551,10773013400.00
20110912,0.007052,0.006986,0.006287,0.006233,10848275500.00
20110913,0.009622,0.009279,0.012943,0.012712,10948919400.00
20110914,0.013543,0.013539,0.015726,0.015706,11097159500.00
20110915,0.017299,0.017121,0.016838,0.016735,11287151100.00
20110916,0.005782,0.005764,0.003686,0.003653,11352024200.00
20110919,-0.009720,-0.009728,-0.012929,-0.012968,11241588100.00
20110920,-0.001807,-0.001838,-0.004953,-0.005017,11220925400.00
20110921,-0.029179,-0.029211,-0.034457,-0.034518,10893156600.00
20110922,-0.032021,-0.032026,-0.034822,-0.034831,10544293900.00
20110923,0.006360,0.006231,0.008394,0.008367,10610806900.00
20110926,0.023156,0.023156,0.024941,0.024941,10866318000.00
20110927,0.010558,0.010547,0.012946,0.012927,10980925400.00
20110928,-0.020291,-0.020530,-0.027303,-0.027625,10755485400.00
20110929,0.007898,0.007848,0.008029,0.007960,10839891500.00
20110930,-0.024877,-0.024883,-0.029121,-0.029134,10547216800.00
20111003,-0.028378,-0.028422,-0.035976,-0.036031,10247446100.00
20111004,0.022528,0.022397,0.030962,0.030924,10475058100.00
20111005,0.018251,0.017743,0.022394,0.022182,10659756200.00
20111006,0.018483,0.018385,0.023555,0.023442,10855733100.00
20111007,-0.007992,-0.008025,-0.012689,-0.012706,10768616100.00
20111010,0.034095,0.034095,0.036009,0.036009,11135768700.00
20111011,0.000593,0.000576,0.001073,0.001048,11142185400.00
20111012,0.009966,0.009817,0.012012,0.011931,11251576400.00
20111013,-0.002926,-0.003011,-0.002990,-0.003013,11217351300.00
20111014,0.017327,0.017327,0.016930,0.016930,11405189800.00
20111017,-0.019308,-0.019340,-0.022993,-0.023025,11199219800.00
20111018,0.020516,0.020516,0.025145,0.025145,11429000200.00
20111019,-0.012532,-0.012682,-0.013779,-0.013822,11284126700.00
20111020,0.004447,0.004418,0.005944,0.005915,11337327400.00
20111021,0.018775,0.018750,0.024029,0.024016,11549851900.00
20111024,0.013029,0.013019,0.019569,0.019544,11700221100.00
20111025,-0.020037,-0.020037,-0.024498,-0.024498,11465691200.00
20111026,0.010240,0.010230,0.011792,0.011781,11582992100.00
20111027,0.034398,0.034341,0.041114,0.041018,11980764000.00
20111028,0.000420,0.000384,0.001578,0.001464,11982256400.00
20111031,-0.024820,-0.024825,-0.027031,-0.027039,11666326100.00
20111101,-0.027867,-0.027871,-0.030271,-0.030277,11337797900.00
20111102,0.016246,0.016157,0.019158,0.019055,11520967200.00
20111103,0.018892,0.018697,0.020662,0.020525,11736364500.00
20111104,-0.006251,-0.006264,-0.004133,-0.004185,11662734800.00
20111107,0.006382,0.006308,0.004194,0.004129,11736302700.00
20111108,0.012425,0.011834,0.011746,0.011366,11875185300.00
20111109,-0.036672,-0.036760,-0.041048,-0.041178,11438652600.00
20111110,0.008642,0.008501,0.009166,0.008988,11535896800.00
20111111,0.019601,0.019601,0.022223,0.022223,11762177100.00
20111114,-0.009364,-0.009484,-0.011101,-0.011254,11650623400.00
20111115,0.004751,0.004561,0.005296,0.005238,11703849900.00
20111116,-0.016475,-0.016755,-0.016615,-0.016846,11507746300.00
20111117,-0.016845,-0.016865,-0.020409,-0.020462,11313703400.00
20111118,-0.000391,-0.000455,0.000063,0.000001,11308768700.00
20111121,-0.018651,-0.018753,-0.018325,-0.018458,11096638700.00
20111122,-0.004026,-0.004113,-0.006342,-0.006442,11050593700.00
20111123,-0.021966,-0.022001,-0.024681,-0.024758,10814998200.00
20111125,-0.002483,-0.002638,-0.001770,-0.001813,10786008100.00
20111128,0.029210,0.029075,0.031903,0.031696,11099614200.00
20111129,0.002616,0.002260,0.001554,0.001290,11124704300.00
20111130,0.043306,0.043160,0.047133,0.047006,11550649100.00
20111201,-0.001804,-0.001840,-0.002229,-0.002263,11529607400.00
20111202,-0.000335,-0.000377,-0.001194,-0.001242,11529093200.00
20111205,0.010460,0.010415,0.013056,0.012986,11649173700.00
20111206,0.001126,0.001110,-0.001069,-0.001089,11662112000.00
20111207,0.002277,0.001927,0.000709,0.000361,11684583300.00
20111208,-0.021145,-0.021226,-0.025032,-0.025187,11437143800.00
20111209,0.016952,0.016949,0.018838,0.018835,11630965500.00
20111212,-0.014884,-0.014933,-0.016016,-0.016066,11454817200.00
20111213,-0.008641,-0.008826,-0.013672,-0.013875,11356811500.00
20111214,-0.011194,-0.011303,-0.012873,-0.012945,11223553300.00
20111215,0.003335,0.003205,0.004788,0.004587,11259523800.00
20111216,0.003289,0.003265,0.003648,0.003587,11297112000.00
20111219,-0.011844,-0.011856,-0.015133,-0.015172,11186338100.00
20111220,0.029901,0.029746,0.034160,0.034055,11519089100.00
20111221,0.001647,0.001625,0.002876,0.002820,11536768900.00
20111222,0.008384,0.008137,0.010859,0.010776,11630641300.00
20111223,0.009031,0.009022,0.007830,0.007808,11735583000.00
20111227,-0.000069,-0.000085,-0.000400,-0.000432,11734591000.00
20111228,-0.012235,-0.012453,-0.014252,-0.014544,11588456000.00
20111229,0.010645,0.010614,0.011485,0.011433,11711460000.00
20111230,-0.004231,-0.004275,-0.004003,-0.004065,11651626700.00
20120103,0.015377,0.015350,0.015003,0.014997,11828800800.00
20120104,0.000388,0.000179,-0.000908,-0.001023,11830914400.00
20120105,0.002898,0.002894,0.004018,0.004011,11865149900.00
20120106,-0.002191,-0.002561,-0.001595,-0.001709,11834768500.00
20120109,0.002330,0.002303,0.003337,0.003324,11862026700.00
20120110,0.008934,0.008921,0.012679,0.012666,11967902900.00
20120111,0.000413,0.000312,0.001132,0.001081,11971636600.00
20120112,0.002413,0.002389,0.003980,0.003956,12000232100.00
20120113,-0.004854,-0.004854,-0.006615,-0.006615,11941943500.00
20120117,0.003456,0.003456,0.003102,0.003102,11983337700.00
20120118,0.011388,0.011228,0.014615,0.014571,12117140900.00
20120119,0.005104,0.005077,0.007269,0.007244,12177453800.00
20120120,0.000790,0.000767,-0.001295,-0.001308,12186883200.00
20120123,0.000430,0.000415,0.001295,0.001285,12191956800.00
20120124,-0.000916,-0.000942,0.001501,0.001444,12180465900.00
20120125,0.008514,0.008501,0.009624,0.009567,12284208200.00
20120126,-0.005659,-0.005705,-0.006659,-0.006733,12214128500.00
20120127,-0.001511,-0.001563,-0.000039,-0.000094,12194390000.00
20120130,-0.002354,-0.002384,-0.005231,-0.005328,12165577600.00
20120131,-0.000399,-0.000404,-0.000375,-0.000394,12155927000.00
20120201,0.009247,0.009040,0.012441,0.012393,12265827400.00
20120202,0.001258,0.001182,0.002077,0.001986,12280309300.00
20120203,0.014701,0.014581,0.017378,0.017297,12458583800.00
20120206,-0.000504,-0.000522,-0.001743,-0.001794,12452075200.00
20120207,0.001982,0.001963,0.001433,0.001399,12476514900.00
20120208,0.002557,0.002205,0.002824,0.002647,12504027500.00
20120209,0.001659,0.001636,0.002095,0.002021,12524486700.00
20120210,-0.006980,-0.007001,-0.008399,-0.008448,12436596500.00
20120213,0.006931,0.006710,0.006082,0.005870,12520041000.00
20120214,-0.000729,-0.000901,-0.001120,-0.001203,12508925200.00
20120215,-0.005095,-0.005428,-0.002379,-0.002651,12441646900.00
20120216,0.011270,0.011141,0.012458,0.012322,12580421500.00
20120217,0.002396,0.002367,0.002419,0.002412,12609010900.00
20120221,0.000416,0.000393,-0.002828,-0.002879,12614014200.00
20120222,-0.003431,-0.003475,-0.004384,-0.004484,12570190900.00
20120223,0.004499,0.004311,0.006137,0.006056,12624378400.00
20120224,0.001959,0.001832,0.001576,0.001542,12646985900.00
20120227,0.001445,0.001352,0.000879,0.000759,12664038500.00
20120228,0.003637,0.003469,0.000462,0.000249,12707970400.00
20120229,-0.004444,-0.004606,-0.005920,-0.006044,12624202000.00
20120301,0.006162,0.006098,0.006195,0.006075,12701218900.00
20120302,-0.003038,-0.003078,-0.004959,-0.005002,12663204100.00
20120305,-0.003730,-0.003783,-0.005451,-0.005539,12615298900.00
20120306,-0.015343,-0.015378,-0.017559,-0.017571,12421297200.00
20120307,0.007335,0.007024,0.008250,0.007759,12508559800.00
20120308,0.009748,0.009598,0.012094,0.011960,12628860200.00
20120309,0.003565,0.003565,0.006133,0.006133,12673705500.00
